symbol,name,industry,list_date
600519.SH,贵州茅台,白酒,2001-08-27
000858.SZ,五粮液,白酒,1998-04-27
000333.SZ,美的集团,白色家电,2013-09-18
601318.SH,中国平安,保险,2007-03-01
600036.SH,招商银行,银行,2002-04-09
601166.SH,兴业银行,银行,2007-02-05
000651.SZ,格力电器,白色家电,1996-11-18
600276.SH,恒瑞医药,化学制药,2000-10-18
300760.SZ,迈瑞医疗,医疗器械,2018-10-16
300750.SZ,宁德时代,电池,2018-06-11
002594.SZ,比亚迪,汽车,2011-06-30
601012.SH,隆基绿能,光伏设备,2012-04-11
600900.SH,长江电力,电力,2003-11-18
601088.SH,中国神华,煤炭开采,2007-10-09
600028.SH,中国石化,石油加工,2001-08-08
601857.SH,中国石油,油气开采,2007-11-05
600030.SH,中信证券,证券,2003-01-06
000001.SZ,平安银行,银行,1991-04-03
002415.SZ,海康威视,计算机设备,2010-05-28
000725.SZ,京东方A,光学光电子,2001-01-12
002230.SZ,科大讯飞,软件开发,2008-05-12
603986.SH,兆易创新,半导体,2016-08-18
000977.SZ,浪潮信息,计算机设备,2000-06-08
300308.SZ,中际旭创,通信设备,2012-04-10
688981.SH,中芯国际,半导体,2020-07-16
600309.SH,万华化学,化学制品,2001-01-05
601899.SH,紫金矿业,工业金属,2008-04-25
600887.SH,伊利股份,食品加工,1996-03-12
600809.SH,山西汾酒,白酒,1994-01-06
002475.SZ,立讯精密,消费电子,2010-09-15
